"No.","Delta","Time","Source","Destination","Protocol","CumBytes","Length","Info"
"3565","0.000008","12.578883","128.237.113.226","54.210.90.84","TCP","3159267","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=337385 Win=167968 Len=0 TSval=2940931401 TSecr=528812779"
"3566","0.000006","12.578889","54.210.90.84","128.237.113.226","TCP","3160781","1514","5201  >  62388 [ACK] Seq=337385 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3567","0.000199","12.579088","54.210.90.84","128.237.113.226","TCP","3162295","1514","5201  >  62388 [ACK] Seq=338833 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3568","0.000005","12.579093","54.210.90.84","128.237.113.226","TCP","3163809","1514","5201  >  62388 [ACK] Seq=340281 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3569","0.000004","12.579097","54.210.90.84","128.237.113.226","TCP","3165323","1514","5201  >  62388 [ACK] Seq=341729 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3570","0.000038","12.579135","128.237.113.226","54.210.90.84","TCP","3165389","66","62388  >  5201 [ACK] Seq=38 Ack=340281 Win=166496 Len=0 TSval=2940931401 TSecr=528812779"
"3571","0.000025","12.579160","128.237.113.226","54.210.90.84","TCP","3165455","66","62388  >  5201 [ACK] Seq=38 Ack=343177 Win=163616 Len=0 TSval=2940931401 TSecr=528812779"
"3572","0.000033","12.579193","128.237.113.226","54.210.90.84","TCP","3165521","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=343177 Win=167968 Len=0 TSval=2940931401 TSecr=528812779"
"3573","0.000007","12.579200","54.210.90.84","128.237.113.226","TCP","3167035","1514","5201  >  62388 [ACK] Seq=343177 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3574","0.000005","12.579205","54.210.90.84","128.237.113.226","TCP","3168549","1514","5201  >  62388 [ACK] Seq=344625 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
