"No.","Time","Source","Destination","Protocol","Length","Info"
"1359","1.302296","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1107721 Win=131072 Len=0 TSval=2935394711 TSecr=254570962"
"1360","1.302303","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1109169 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1361","1.302306","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1110617 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1362","1.302311","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1112065 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1363","1.302328","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1110617 Win=129600 Len=0 TSval=2935394711 TSecr=254570962"
"1364","1.302373","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1113513 Win=128160 Len=0 TSval=2935394711 TSecr=254570962"
"1365","1.302391","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1113513 Win=131072 Len=0 TSval=2935394711 TSecr=254570962"
"1366","1.302485","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1113513 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1367","1.302488","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1114961 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1368","1.302510","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1116409 Win=128160 Len=0 TSval=2935394711 TSecr=254570962"
"1369","1.302526","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1116409 Win=131072 Len=0 TSval=2935394711 TSecr=254570962"
"1370","1.303325","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1116409 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1371","1.303330","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1117857 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1372","1.303332","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1119305 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1373","1.303334","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1120753 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1374","1.303337","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1122201 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1375","1.303339","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1123649 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1376","1.303341","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1125097 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1377","1.303344","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1126545 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1378","1.303393","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1119305 Win=128160 Len=0 TSval=2935394712 TSecr=254570962"
"1379","1.303403","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1119305 Win=131072 Len=0 TSval=2935394712 TSecr=254570962"
"1380","1.303418","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1122201 Win=129600 Len=0 TSval=2935394712 TSecr=254570962"
"1381","1.303429","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1125097 Win=128160 Len=0 TSval=2935394712 TSecr=254570962"
"1382","1.303435","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1125097 Win=131072 Len=0 TSval=2935394712 TSecr=254570962"
"1383","1.303457","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1127993 Win=128160 Len=0 TSval=2935394712 TSecr=254570962"
"1384","1.303461","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1127993 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1385","1.303464","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1129441 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1386","1.303473","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1130889 Win=125280 Len=0 TSval=2935394712 TSecr=254570962"
